total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
gastric tissu	[Stomach, Gastric_Tissue]
2	[Moderate, Tooth_2]
g	[GRAVIDA, Gravida]
i	[i_minus_modifier, i_plus_modifier]
olfactori nerv	[Olfactory_Nerve, Cranial_Nerve]
m	[m_modifier, M_Stage]
p	[PARA, AssessmentAndPlan_Section, HeartRate_Section, Parity, Plan_Section]
ergastoplasm	[Endoplasmic_Reticulum, Rough_Endoplasmic_Reticulum]
r	[RespiratoryRate_Section, r_modifier]
t	[T_Stage, Temperature_Section]
auditori nerv	[Cochlear_Nerve, Vestibulocochlear_Nerve]
vena cordi	[Cardiac_Vein, Coronary_Vein]
precursor lymphoblas leukemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
para urethr gland	[Skene_Gland, Paraurethral_Gland]
cancer unspecifi site	[Malignant_Neoplasm, Cancer]
entir sacrum	[Sacrum, Sacral_Bone]
immunocytoma ob	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
ultrasound scan	[Diagnostic_Ultrasound, Ultrasonography]
structur paraurethr gland bodi	[Skene_Gland, Paraurethral_Gland]
muscl no	[Muscle_Tissue, Muscle]
gener	[GeneralPlan_Section, GeneralExam_Section]
proteasom endopeptidas complex chemic ingredi	[20S_Proteasome, Proteasome]
common iliac node	[Common_Iliac_Lymph_Node, Iliac_Lymph_Node]
phyllod tumor breast	[Breast_Phyllodes_Tumor, Borderline_Breast_Phyllodes_Tumor]
invas ductal carcinoma nst	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
vesicular mole	[Complete_Hydatidiform_Mole, Hydatidiform_Mole]
dfsp	[Dermatofibrosarcoma_Protuberans, Giant_Cell_Fibroblastoma]
medic sonographi	[Diagnostic_Ultrasound, Ultrasonography]
alveolu dentali	[Alveolus, Tooth_Socket]
granul secretori	[Secretory_Vesicle, Secretory_Granule]
joint carpal	[Wrist_Joint, Carpal_Joint]
lymphoma lymphoplasmacytoid cll	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
buccal mucosa bodi structur	[Buccal_Mucosa, Oral_Mucosa]
chronic lymphoid leukemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
fila olfactori	[Olfactory_Nerve, Cranial_Nerve]
anal region structur	[Anal_Region, Perianal_Region]
tissu bone	[Bone_Tissue, Bone]
chronic lymphocyt leukemia cll	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
malign neoplast diseas disord	[Malignant_Neoplasm, Cancer]
acut lymphoid leukaemia diseas	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
renal cancer wilm	[Kidney_Wilms_Tumor, Wilms_Tumor]
structur medulla kidnei bodi	[Renal_Pyramid, Renal_Medulla]
teleradiotherapi us electron procedur	[Electron_Beam_Therapy, Photon_Beam_Radiation_Therapy]
back	[Back, Dorsum]
invas ductal breast cancer	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
b cell malign low grade	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
endopeptidas complex proteasom	[20S_Proteasome, Proteasome]
fascia superfici	[Superficial_Fascia, Subcutis]
olfactori nerv structur bodi	[Olfactory_Nerve, Cranial_Nerve]
structur capillari blood vessel organ bodi	[Capillary, Blood_Capillary]
leukemia chronic b lymphocyt	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
bone vertebra	[Vertebral_Bone, Vertebra]
pn0 i	[Breast_Cancer_pN0_i_minus_TNM_Finding, Breast_Cancer_pN0_i_plus_TNM_Finding]
leiomyofibroma	[Leiomyoma, Uterine_Corpus_Leiomyoma]
membrum inferiu	[Lower_Extremity, Leg]
spindl cell rhabdomyosarcoma	[Spindle_Cell_Rhabdomyosarcoma, Sclerosing_Rhabdomyosarcoma]
nodi lymphoidei tracheobronchial inferior	[Subcarinal_Lymph_Node, Tracheobronchial_Lymph_Node]
intercarp joint	[Wrist_Joint, Carpal_Joint]
nasal sinu structur	[Sinus, Paranasal_Sinus, Nasal_Cavity]
medullari portion kidnei	[Renal_Pyramid, Renal_Medulla]
acut myeloid leukemia	[Acute_Myeloid_Leukemia_Not_Otherwise_Specified, Acute_Myeloid_Leukemia]
gland thyroid	[Thyroid_Gland_Tissue, Thyroid_Gland]
cranial nerv i	[Olfactory_Nerve, Cranial_Nerve]
carcinoma renal cell	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
northwest maidu	[Konkow, Digger]
cellular ependymoma grade ii	[Clear_Cell_Ependymoma, Cellular_Ependymoma]
labyrinth structur bodi	[Inner_Ear, Cochlea]
malign obstetr neoplasm	[Malignant_Neoplasm, Cancer]
pharyng structur	[Throat, Pharynx]
myeloid sarcoma morpholog	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
b cell chronic lymphocyt leukemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
solitari plasmacytoma no	[Solitary_Plasmacytoma, Plasmacytoma]
mastectomi simpl	[Total_Mastectomy, Mastectomy]
cornu ammoni	[Hippocampus, Cornu_Ammonis]
