Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Code	Source Column
CR-Breast-2015-11-09.tsv	Other Columns	1	STUDY ID			
CR-Breast-2015-11-09.tsv	Other Columns	2	SUBJ_ID			SUBJ_ID
CR-Breast-2015-11-09.tsv	Other Columns	3	SAMPLE_ID			SAMPLE_ID
CR-Breast-2015-11-09.tsv	Other Columns	4	OMIT			SEQ_NO
CR-Breast-2015-11-09.tsv	Disease Phenotype+Cancer Phenotype+Breast Cancer Phenotype	5	Laterality			LATERALITY
CR-Breast-2015-11-09.tsv	Episode+Diagnostic Episode	6	Initial Pathologic DX (year)			YEAR_DX
CR-Breast-2015-11-09.tsv	OMIT	7	OMIT			YR_BIRTH
CR-Breast-2015-11-09.tsv	Episode+Diagnostic Episode	8	Age at Diagnosis			AGE_DX
CR-Breast-2015-11-09.tsv	OMIT	9	OMIT			POST_MENO
CR-Breast-2015-11-09.tsv	Patient	10	Menopause Status (Post)			POST_MENO_DESC
CR-Breast-2015-11-09.tsv	Patient	11	Age at Menopause			AGE_MENO
CR-Breast-2015-11-09.tsv	Patient	12	RACE			RACE
CR-Breast-2015-11-09.tsv	OMIT	13	OMIT			RACE_DESC
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype	14	Histology Type			HIST_ICD_0_3
CR-Breast-2015-11-09.tsv	OMIT	15	OMIT			HIST_ICD_0_3_DESC
CR-Breast-2015-11-09.tsv	Disease Phenotype+Tumor Phenotype	16	Grade			GRADE_DIFF
CR-Breast-2015-11-09.tsv	Disease Phenotype+Tumor Phenotype	17	Nottingham or Bloom-Richardson (BR) Score			CS_FACTOR_7
CR-Breast-2015-11-09.tsv	Disease Phenotype+Tumor Phenotype	18	Tumor Size			SIZE_TUMOR
CR-Breast-2015-11-09.tsv	Disease Phenotype+Tumor Phenotype	19	Lymph Nodes Examined Count			REG_NODES_EXAM
CR-Breast-2015-11-09.tsv	Disease Phenotype+Tumor Phenotype	20	Positive Nodes			REG_NODES_POS
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype+Breast Cancer TNM Classification	21	Clinical T			CLINICAL_T
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype+Breast Cancer TNM Classification	22	Clinical N			CLINICAL_N
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype+Breast Cancer TNM Classification	23	Clinical M			CLINICAL_M
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype+Breast Cancer TNM Classification	24	Clinical Stage			CLINICAL_STAGE_GRP
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype	25	Path T			PATH_T
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype	26	Path N 			PATH_N
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype	27	Path M			PATH_M
CR-Breast-2015-11-09.tsv	OMIT	28	OMIT			SITE_DIST_METS_1
CR-Breast-2015-11-09.tsv	OMIT	29	OMIT			SITE_DIST_METS_2
CR-Breast-2015-11-09.tsv	OMIT	30	OMIT			SITE_DIST_METS_3
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype	31	Path Stage			PATH_STAGE_GRP
CR-Breast-2015-11-09.tsv	OMIT	32	OMIT			PATH_STAGE_GRP_DESC
CR-Breast-2015-11-09.tsv	Cancer+Cancer Phenotype	33	Best CS Stage			BEST_CS_STAGE
