Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Code	Source Column	Data Type	Start	Width
	OMIT	1				RecordType	Text	1	1
	OMIT	2				RegistryType	Text	2	1
	OMIT	3				FINCodingSystem	Text	3	1
	OMIT	4				Reserved00	Text	4	13
	OMIT	17				NAACCRRecordVersion	Text	17	3
	OMIT	20				NPIRegistryID	Text	20	10
	OMIT	30				RegistryID	Text	30	10
	OMIT	40				TumorRecordNumber	Text	40	2
		42	SUBJ_ID			PatientID	Text	42	8
		50				PatientIDHosp	Text	50	45
		95				DxCity	Text	95	50
	Patient	145				DxState	Text	145	2
	Patient	147				DxZip	Text	147	9
		156				DxCounty	Text	156	3
		159				CensusInfo	Text	159	17
	Patient	176				MaritalStatus	Text	176	1
	Patient	177	RACE			Race1	Text	177	2
		179				Race2	Text	179	2
		181				Race3	Text	181	2
		183				Race4	Text	183	2
		185				Race5	Text	185	2
		187				RaceCoding	Text	187	2
		189				Spanish	Text	189	1
		190				ComputedEthnicity	Text	190	2
	Patient	192	GENDER			Sex	Text	192	1
		193				AgeatDiagnosis	Text	193	3
		196				DOB	Text	196	10
		206				Birthplace	Text	206	3
		209				OccupationInfo	Text	209	209
		418				NHIA	Text	418	1
		419				RaceNAPIIA	Text	419	2
		421				IHSLink	Text	421	1
		422				GISCoordQual	Text	422	2
		424				RuralUrbanContinum	Text	424	4
		428				CensusInfo2010	Text	428	8
		436				DxCountry	Text	436	3
		439				AddrCurrentCountry	Text	439	3
		442				BirthplaceState	Text	442	2
		444				BirthplaceCountry	Text	444	3
		447				FollowupContactCountry	Text	447	3
		450				PlaceDeathState	Text	450	2
		452				PlaceDeathCountry	Text	452	3
		455				CensusIndOcc2010	Text	455	9
		464				Reserved02	Text	464	64
		528				CentralSeqNumber	Text	528	2
		530				DateofDiagnosis	Text	530	10
		540				PrimarySite	Text	540	4
	Cancer+Cancer Phenotype	544	Laterality			Laterality	Text	544	1
		545				HistologyICDO2	Text	545	4
		549				BehaviorICDO2	Text	549	1
		550				HistologyICDO3	Text	550	4
		554				BehaviorICDO3	Text	554	1
		555				Grade	Text	555	3
		558				SiteMorphCoding	Text	558	4
		562				DiagnosticConfirmation	Text	562	1
		563				ReportingSourceType	Text	563	1
		564				CasefindingSource	Text	564	2
		566				AmbiguousMultiple	Text	566	25
		591				Reserved03	Text	591	100
		691				NPIReportingHosp	Text	691	10
		701				ReportingHospital	Text	701	10
		711				NPIArchiveFIN	Text	711	10
		721				ArchiveFIN	Text	721	10
		731				AccessionNumber	Text	731	9
		740				HospitalSeqNumber	Text	740	2
		742				HospitalAbstractor	Text	742	3
		745				DateFirstContact	Text	745	10
		755				DateInpatientAdmit	Text	755	10
		765				DateInpatientDisch	Text	765	10
		775				InpatientStatus	Text	775	1
		776				ClassOfCase	Text	776	2
		778				PrimaryPayeratDx	Text	778	2
		780				RxHospASAClass	Text	780	1
		781				RxHospSurgApp2010	Text	781	1
		782				RxHospSurgPrimeSite	Text	782	2
		784				RxHospScopeRegLNSur	Text	784	1
		785				RxHospSurgOthRegDis	Text	785	1
		786				RxHospRegLNRemoved	Text	786	2
		788				RxHospSurgTiming	Text	788	1
		789				RxHospRadiation	Text	789	1
		790				RxHospChemo	Text	790	2
		792				RxHospHormone	Text	792	2
		794				RxHospBRM	Text	794	2
		796				RxHospOther	Text	796	1
		797				RxHospDxStageProc	Text	797	2
		799				RxHospPalliativeProc	Text	799	1
		800				RxHospSurgSite98_02	Text	800	4
		804				Reserved04	Text	804	100
		904				SummaryStage2000	Text	904	1
		905				SummaryStage1977	Text	905	1
		906				EODTumorSize	Text	906	3
		909				EODExtension	Text	909	2
		911				EODProstPath	Text	911	2
		913				EODLymphNode	Text	913	1
		914				RegionalNodesPos	Text	914	2
		916				RegionalNodesEx	Text	916	2
		918				EODold	Text	918	19
		937				EODCodingSys	Text	937	1
		938				TNMEditionNum	Text	938	2
		940				TMNPathT	Text	940	4
		944				TNMPathN	Text	944	4
		948				TNMPathM	Text	948	4
		952				TNMPathStageGrp	Text	952	4
		956				TNMPathDesc	Text	956	1
		957				TNMPathStagedBy	Text	957	1
		958				TNMClinT	Text	958	4
		962				TNMClinN	Text	962	4
		966				TNMClinM	Text	966	4
		970				TNMClinStageGrp	Text	970	4
		974				TNMClinDesc	Text	974	1
		975				TNMClinStagedBy	Text	975	1
		976				PediatricStage	Text	976	5
		981				TumorMarkers	Text	981	4
		985				CSFields	Text	985	118
		1103				DerivedCSFields	Text	1103	53
		1156				DerivedSS2000	Text	1156	1
		1157				CSFlags	Text	1157	4
		1161				CSVersion	Text	1161	18
		1179				SEERSiteSpecFactors	Text	1179	6
		1185				Comorbidity	Text	1185	121
		1306				NPCRSpecificField	Text	1306	75
		1381				Reserved05	Text	1381	55
		1436				DateInitialRx	Text	1436	10
		1446				DateFirstCsRx	Text	1446	10
		1456				RxDateCaDirSurg	Text	1456	10
		1466				RxDateMostDefinSurg	Text	1466	10
		1476				RxDateSurgDisch	Text	1476	10
		1486				RxDateRadiation	Text	1486	10
		1496				RxDateRadEnded	Text	1496	10
		1506				RxDateSystemic	Text	1506	10
		1516				RxDateChemo	Text	1516	10
		1526				RxDateHormone	Text	1526	10
		1536				RxDateBrm	Text	1536	10
		1546				RxDateOther	Text	1546	10
		1556				RxDateDxStgProc	Text	1556	10
		1566				RxSummTxStatus	Text	1566	1
		1567				RxSummSurgPrimSite	Text	1567	2
		1569				RxSummScopeRegLNSur	Text	1569	1
		1570				RxSummSurgOthRegDis	Text	1570	1
		1571				RxSummRegLNExam	Text	1571	2
		1573				RxSummSurgApproach	Text	1573	1
		1574				RxSummSurgMargins	Text	1574	1
		1575				RxSummReconstFirst	Text	1575	1
		1576				ReasonNoCaDirSurg	Text	1576	1
		1577				RxSummDxStgProc	Text	1577	2
		1579				RxSummPalliativeProc	Text	1579	1
		1580				RxSummRadiation	Text	1580	1
		1581				RxSummRadtoCNS	Text	1581	1
		1582				RxSummSurgRadSeq	Text	1582	1
		1583				RxSummTransplant	Text	1583	2
		1585				RxSummChemo	Text	1585	2
		1587				RxSummHormone	Text	1587	2
		1589				RxSummBRM	Text	1589	2
		1591				RxSummOther	Text	1591	1
